"","x"
"11","very rude staff „‚the food is typical mcdonalds food bad „‚head for the chickfla across the street"
"12","worst mcdonalds ever they are unable to get an order correct went through the drive through last night got home and no fries in my bag got to the window and the woman running the window was talking about her personal life with a co worker laughing it up with her back t us making us wait instead of giving us our ice coffee then she seemed to remember she was working and brought us our coffee last time i went there i ordered something with no mayo which my tix said got home and covered in mayo called up to complain and the responsewhat do u want me to do about it if i get the craving for mcdonalds i will drive out of my way i hope this one goes out of business „‚this location is good for nothing"
"13","its mcdonalds for fs sake it is what it is the food sucks but it is usually microwaved or fried within a debatable somewhat reasonable amt of time staff are usually genuinely unhappy but nice none the less"
"14","the drive thru makes them lost a star since my last reviewthis is one of those two lane drive thrus and i know that the function of that is so that the orders are not messed up when you get to the window but almost everytime the cashier ends up asking me what did i order „‚i inquired about that before and was told that when someone drives off that messes up the orderwell i guess theres no controlling drive off and at least i know my order has been confirmed so it should be right by the time i get to the second windowthis mcdonalds also has a late night drive thru thursat it use to be ahour on those days but i dont think it is any longer one of my biggest pet peeves is that the drive thru staff has no smile in their voice when you are ordering food from the luxury of your vehicle you want to think that the person in charge of taking your order is in good spirits but not at this location"
"15","im not crazy about this mcdonalds „‚this is primarily because they are so slow „‚my gosh what exactly is the hold up „‚its fast food people „‚also this morning i guess the worker thought his mic was off but it wasnt „‚i now know that he is trying to get as many hours as possible because he needs money bad „‚spread the word „‚anyway this location is on a little access road „‚and you have to go back the way you came because there is no exit from it at the other end „‚it would have helped if there was one „‚so in the end i think ill avoid this location and find another „‚this should be easy as there is no shortage of mickey ds in this piece"
"16","terrible customer service „‚i came in at pm and stood in front of the register and no one bothered to say anything or help me forminutes „‚there was no one else waiting for their food inside either just outside at the window „‚ i left and went to chickfila next door and was greeted before i was all the way inside this mcdonalds is also dirty the floor was covered with dropped food obviously filled with surly and unhappy workers"
"17","fries were old and coldthey were out of ice asked for the sandwich to be plain it did not come that way they forgot to give us our drinks"
"18","i went to get some food for my wife and i at pm this place is in a hotel so you think they would have staffing nope they hadpeople working and were running out of food as they were taking orders no planning ahead here there were almostpeople in line and took over half an hour to get my food it was ridiculous"
"19","i just ordered food from there an hour ago my fries were all stale and cold they must have been old they forgot to give me my drink ive been trying to call them and their phones are busy worst mcdonalds i have ever been too i tried to be nice yesterday and compliment them since it was christmas but i feel like it was a mistake"
"20","employees look like they hate their job milkshake was like drinking milk food was cold and not warm at all"
"21","ive generally had good service here but this morning at the drivethru was the pits „‚i was initiallycars back from ordering and it seriously took me aboutminutes to get my food „‚when i was ordering i had to repeat it four times very slowly and they still got my drink size wrong „‚when i got it my food was great but the visit was very painful overall „‚i hope this visit was a fluke"
"22","regular mcdonalds close to the highway which can be good and bad"
"23","this is the worst mcdonalds i have ever visited „‚we sat at the drivethru window forever watching the employees goof off „‚the fish sandwich was edible in a square processed fish round bun too much tartar sauce sort of way „‚the french fries were horrible „‚they were not edible „‚they were stale and greasyjust because someone is holding a broom does not mean that they are sweeping „‚the broom is a prop to make people think they are working while they are socializing with coworkers „‚they will look at you occasionally while they continue to goof off „‚the employees seem to go out of their way to prove that you arent worth their time „‚this mcdonalds really sucks"
"24","im not ashamed to admit that i frequent this mcdonalds at least twice a week „‚need a snack after pumping gas „‚need coffee before chocolatte is open or after chocolatte is closed „‚need nightafterdrinking breakfast „‚yes please on all counts „‚i havent found this mcdonalds to be particularly slow „‚it is a bit sketch by decatur standards although its north decatur and not decatur proper „‚often at night there are folks who look homeless here though only one one occasion has anything particularly creepydisturbing happened regarding said demographic of patron „‚otherwise its lots of emory students and hospital workers and high school students from druid hills high „‚i like that the workers seem to have a good camaraderie with each other „‚i also like that folks remember my standard order and can associate my voice with my order when i go through the drive thru"
"25","walked into this place for the first time to get an ice cream cone while my wife shopped at nearby pet store the older lady wearing glasses behind the counter asked me if i wanted it togo togoits an ice cream cone anyway i said togo this lady then gave me the biggest yarn as she handed me my change then i watched her drop some kind of plastic cup on to the floor but didnt pick it up right away she looked like she didnt want to be there at all i watched her prepare my ice cream cone then she decided to pickup that cup she dropped on the floor earlier what gets me is the way she picked it up looked like as if she was picking up albs weight at the gym then as she was handing me my ice cream she says to me welcome welcome for what „‚i havent said my thank you yet„‚as if she was doing me a big favor „‚i grewup in japan where a customer service is probably the best in the world so maybe im little too critical but i do know one thing if this was a mcdonalds in japan she be so fired"
"26","im hooked on the mcdonalds oatmealwhen i want to grab some breakfast thats yummy healthy and easy to eat while im driving i head here im always met with friendly service at the drivethrough they move pretty quickly and always get my order correct no matter how busy they are"
"27","this is by far the worse mcdonalds ive ever been too my bf wanted their chicken nuggets because it wasforpieces we got there and placed an order forpieces it took usminutes to get it and he was charged twice the amount we were told by the cashier that the manager would fix this problem and he never did until we had to ask ourselves overall it took a long time to get our food we received the wrong sauces and it was an overall poor experience i will not return to this location"
"28","just sat at drive thru several minutes no one is answering i can see employees walking around and it isam and they should be open i wonder if this franchises owner is aware that he is losing business due to this i bet they do and dont care"
"29","very nice and clean i came here late night and it was the only mcds open in the area i think came for the sweet tea and they had no more"
"30","dont come in their priority is the drive thru dont waste your time horrible customer service i will be avoiding this place as much as possible"
"31","unbelievably slow at drive thru slow to take your order slow in taking your money slow in filling your order „‚its torture especially when you need to be somewhere and your child is hungry dont go for breakfast theres always a line ofcars at the drive thru window „‚its no faster if you go in and order actually it was longer ordering inside instead of drive thru „‚ughhhhh"
"32","what a jokedont do take out as you will not get anything that you ordered we prefers and paid for items only to get home withof the order accurate ive been there numerous times and sadly the same thing happens its my fault because i should learndoes anyone know the owneri cant believe that he would like this comment woodstock macdonalds is not the place that ray crock invented save yourself the frustration and waste if money dont go thereive learned now"
"33","ive never tried a mcrib sandwich and i heard via the talk threads that mcdonalds in las vegas started serving them the other day so i took my son here to give this legendary sandwich a trywe ordered two mcrib meals sandwich fries soda„‚i also wanted to try thespicy mcchicken sandwichthe verdicti didnt like the mcrib at allblech „‚the sauce was the best part about it other than that it was pretty bland „‚the fries were good of courseand the spicy mcchicken sandwich was decent not bad for overall it was a complete waste of calories „‚im not dinging mcdonalds for my stupid curiosity so they getstars „‚the mcdonalds experience was aok did i find value in my meal „‚not todaymy fault thoughwill i return „‚id come back again to order something i enjoy"
"34","mcdonalds should never disappoint but this one certainly will as they are slow as heck andtimes out ofyour fries will be cold"
"35","ok im waiting for likeminutes to place my order with the staff walking backforth just looking at me like im crazy and anotherminutes or so before i got my food this location use to be my stop in the mornings when i worked near here but they have fallen way off"
"36","this mcds is bad it is near my home and has a drive thru so i hit it up for the dollar menu it is pure convenience that i go to this one the wait for food here is unreal this last week my mcdouble tasted more like it was reheated the bun was rock hard i just never know if im going to get what i ordered correctly or if it will taste normal or reheated i have been getting coupon books in the mail that have been good deals inside feels kinda cramped the lines inside are as bad as the drive thru please remember that people leaving the drive thru have rights too i obey the stop sign before pulling out but it seems the people shopping within the strip mall think they have the right to zip by you and not let you out"
"37","worst one ive eve been too i was numberand i waited for ever and ever and the manager was giving out the food and saw me standing there forever and she didnt ask me what my order was or anything it got up towhen the cashier had to ask me what my order was so slow and disorganized and barely any space to eat and sit down"
"38","drive thru sucks here this is the rd time they messed up my order and there sooooo freakin slow they have no since of urgency"
"39","the customer service was horrible „‚they seemed angry to work here and they would get upset if you ask for more ketchup or condiments also the kids play area was filthy it had old dirty food on the floor and it was „‚full of lint stay away from this location"
"40","terrible service plain and simple"
"41","fruit flies anyone there is a huge fruit fly infestation here i have been here twice inmonths and the problem still exists"
"42","on my way to curry honda for my scheduled maintenance appointment i went to the drivethru of this mcdonalds since it was so conveniently located almost adjacent to the honda dealership „‚it was aroundpm on a saturday afternoon and there were probably only two cars in front of me so i thought id be in and out of there quickly „‚what i thought would be a quick drivethru took over ten minutes „‚im not sure what the hold up was but perhaps one or both of the cars in front of me got a large order „‚all i ordered was a spicy mcchicken sandwich small fries and a cup of ice wateragain curry honda is located super close to the mcdonalds so the food should have still been hot or at least warm when i got there „‚however when i sat down to eat my food in the waiting room i noticed the sandwich and fries were barely warm and the ice in my water was almost completely melted „‚i guess the food had been cooked and sitting out for a while and they must keep cups of ice water ready to hand out to customers „‚boo „‚it was my first time trying the spicy mcchicken sandwich and i thought it was decent „‚it has a very slight kick of spice and is at least a little more interesting than the plain ol mcchicken sandwichoverall this mcdonalds getsstars for being ok „‚yes service could have been quicker and the food should have been served hotter but this is a mcdonalds and at least the employees were friendly „‚i may return to this mcdonalds if im on my way to curry honda and didnt have time to grab food elsewhere but it wouldnt be my top choice for fast food in the areareviewof"
"43","this mcdonalds is located right next to the building which houses studio movie grill „‚its super convenient to stop by and grab a quick bite before watching a movie if you dont want to spend a lot of money for food at the theater „‚but thats pretty much where the pros of this location stopive been to this mcdonalds several times but ive been a bit disappointed on several occasions „‚most recently i went through the drivethru and got a simple ordera mcchicken sandwich and small fries „‚i drove to the studio movie grill parking lot to eat before a movie and noticed that my fries were cold „‚ughhhhh „‚cold mcdonalds fries are the worst „‚lamethe employees seem to be pretty friendly and the restaurant looks decent inside unfortunately they lack power outlets i saw one but maybe theres a one or two more scattered throughout the restaurant „‚this makes it inconvenient for people who like to stop by mcdonalds to use their laptops which i do quite oftenoverall this mcdonalds deserves aboutstars because its right in between meh and aok „‚i know some may say its just a mcdonalds but heyive been to numerous other locations where their food is pretty consistent dont serve cold fries and there are numerous power outlets for customers use „‚ill probably be back just because its right next to studio movie grill but im hoping theyll start improving the quality of their fast foodat least to the mcdonalds standardreviewof"
"44","thinking lightening and back luck couldnt possibly strike twice i returned to mcdonalds in summerlin to place a small order notmcmuffins as the morning before for methe posse who got called into work on a sunday „‚this time i opt to go thru the drivethru coz nobodys in line „‚wow its looking good or so i thought „‚paid for my simple order at the st window then waitedmore minutes behind the only car at the pickup window here we go am i gonna be later for work again with onlycar in front of me wtf cars were honking ferociously behind me now im blocked in „‚low and behold when i move up i recognize the guy handing me my food as one of the mcdonalds workers who stepped over my pile of food in slowmotion matrix effect yesterday morning „‚ughhh „‚guess theyre probably hiring at this fast food establishment and will take any dreggs off the street who either has a pulse or a trust fund so whats the hurry „‚gave them a nd chance learned my lesson wont ever go back „‚as an aside took the time to email mcdonalds and got the proverbial party line response ie we pride ourselves on blah blah blah i normally believe in redemption but not from this place"
"45","i dont know what it is about this mcdonalds its like kids run the joint not that they arent friendly but too many of them just arent professional and seem to think the customers are part of their entertainment this job is basically an extension to their social life „‚its a problem"
"46","first they lost my order actually they gave it to someone one else than tookminutes to figure out why i was still waiting for my orderthey after i was asked what i needed i replied my orderthey asked for my ticket and the asst mgr looked at the ticket then incompletely filled iti had to ask her to check to see if she filled it correctlyshe acted as if she couldnt be bothered with that so i asked her againshe begrudgingly checked to she did in fact miss something on the ticketso afterminutes i finally had my breakfast biscuit platteras i left an woman approached and identified herself as the manager she was dressed as if she had just awoken in an old tshirt and sweat pantsshe said she had heard what happened and said shed take care of itwell why didnt she intervene when she saw i was growing annoyed with the incompetence"
"47","this has to be one of the worst and slowest mcdonalds franchises there is cant figure out why my egg mcmuffin is always on a stale untoasted english muffin bought a chocolate shake today and threw it away"
"48","as the previous yelpers have already stated this place is pretty slow the food is usually cold and the serviceyeah you guessed it poor"
"49","good location slow service „‚funny crew on a trip through the drive thru the cutie taking my order for a happy meal asked if i would like a girl or a boy toy i excitedly answered oh ill take a boytoy he must of thought i was a dirty old lady hed be half right"
"50","rita as review is dead on i stop here on occasion and they cannot get anything right if i order a shake the shake machine is down ask for no ketchup on my sandwich make that extra ketchup no mustard light ice load the cup to the topgetting my order wrongof the time aside the service is also frequently unfriendly or distracted and almost always painfully slowid rather skip it and go somewhere that can get my order right and do it with a smile"
"51","i stopped coming to this location because they never give you napkins in the drivethruemployees here are pretty grumpy"
"52","sometimes you just need a mickey ds fix usually for me anyway that sometime is very late at nighter early in the morning depending on how you want to slice ithour drive thrucheck fries still made fresh at all hourscheck check a double cheeseburger for a stealand a coke to go with check yep all your drivethru goodybadness waiting for youyum"
"53","ordered at am ondid not get food until am they forgot our order of fries i had to call twice and they hung up on me both times without an update third time i called they said they were waiting for the eggs to cook am received order of fries"
"54","of course this is a fast food restaurant so of course theres not much of a spectacular review that i can write but i will express my concerns i work late nights and when i do get off work if there nothing ready in the house i will stop and my only option is mcdonalds or checkers needless to say this is nothing short of ghetto i could hear the employees in the background laughing and playing over the intercom as im ordering the food after i ordered she didnt even bother to tell me my total or go over my order with me „‚when i made it to the window she was having a conversation with her co worker despite me having my hand out the window to give her the money when i drove up to the second windowsomeone had been smoking a cigarette and threw it right outside the drivethrough window now i dont know if it was maybe a previous customer or and employee but nobody was in front of me when i pulled up but hard to say i could hear the music they were playing over my radio in the car and to top it off somebody was calling another chick a btch and just being loud i mean hey didnt expect nothing spectacular but if these are the people thats making my big mac ill pass the day shift is the complete opposite so dont be discouraged too much by this my food tasted mcdonalds worthy but they need to change up that scenery a bit"
"55","service is terribly slow orders have never been correct manager oscar is trained in a third world country i have boycotted this location for the last year and i live and work within walking distance of this place id much rather go out of my way and give my money to the boca park location"
"56","the worst mcdonalds franchise ive visited „‚i fired off complaints to mcdonalds corp „‚thinking they might want something for their file to rid themselves of this lazy franchiseeall i got was a lame apology months later w a coupon for more food „‚it was well after the dinner rush every table was dirty floors so sticky i almost walked outta my shoes surly staff just plain dirty"
"57","parking not very welcoming to large rvs and dont park next door at the convenience station they charge to park staff seemed confused on how to handle special requests choosing instead to argue with a customer infront of me and behind me"
"58","im not a huge mcds lover but ive been to better ones this is by far the worst one ive ever been too its filthy inside and if you get drive through they completely screw up your order every time the staff is terribly unfriendly and nobody seems to care"
"59","my drive through experience was a pleasant one the workers seemed very friendly and i received quick service whenever i go to drive thrus im not usually asked how my day is going unless im at starbucks i didnt feel like i was rushed and the most important thing is they didnt forget the sweet and sour sauce"
"60","this has got to be one of the busiest mcdonalds in the metro areaif not the southeastand they are fairly efficient despite being so busy all the timeyou can come by just about any time of the day and find the line of cars for the drivethru wrapped around the buildingits generally more efficient to go into the building and place your order than wait in the line of cars spewing smog and since the building is openhours now that should make it easy to get your mcfixgood job clairmont mcdonalds"
"61","there is one reason and one reason alone that my family comes to this mcdonaldsand its the playplace with nvs awful winter wind and scorching summers its a nightmare place for kids that need to run off some steam we come here with myyear old sister andyear old brother so they can run around and to grab a drink usually this location is packed with kids this mcdonalds is more expensive than other ones"
"62","other businesses throughout metro atlanta opened their doors to stranded motorists during the jansnow storm this mcdonalds on camp creek parkway told „‚a group of senior citizens who were on the way home from an outing that they had to leave their restaurant „‚all they cared about was the dollar „‚after they got that they were done with them „‚too bad they couldnt have made it down the street to wendys or chic fil a and other restaurants"
"63","no stars is more appropriate every time i come here they screw something up today i ordered a filet light sauce and an unsweet tea i get to work and what do i find a filet on a toasted bun and some god awful flavored unsweet tea i tried calling them today and after other experiences and they never pick up their phone i usually go through the drivethru because its convenient i went into the store and found this place to be a pig sty"
"64","john the manager at this mcdonalds was rude and did not want to provide customer service in the middle of ordering drive through he refused to accept order i guess he thinks because he has flashy lights he can do as he likes „‚i do not recommend this mcdonalds „‚take it for what its worth „‚hope you have a better experience than i did"
"65","i used to stop at this mcdonalds now and then on my way to work for breakfast my main problem is that the drive thru seems to be slow at this one and then one day some yahoo working the drivethru charged me likefor a tea that i knew darn well was only supposed to behe claimed they stopped the promotion well guess what the next day and the day after i heard the same ole advertisements i have been hearing for years now pitching their any tea or soft drink foryeah i wont be back burger king has bettersausage breakfast burritos anyhow"
"66","always come here with no expectations in my food and somehow it exceeds to be lowered when i receive my foodtip always ask for ketchup and ketchup cause theyll never throw any in the bagbut its mcdonalds and all are the same"
"67","i had an okay visit they kept the inside line moving and the food came out quickly and was correct these days thats saying a lot the staff could be a bit more friendly and better trained the girl had trouble finding my drink on the cash register no big deal really this is a very busy location in the morning but it worksstar seems accurate for this mcdonalds"
"68","i know i shouldnt need to ask but experience has proven its a good i idea tonight i forgot „‚to ask them to make sure the coffee wasnt old and after i drove any i checked and it was not only old it was cold"
"69","i would honestly not normally take the time to review a mcdonalds location since im only really a fan of their breakfast but this place has some serious issues apparently the difference between sausage and egg and sausage egg and cheese is not obviousimportant to whoever they have bagging orders even though they are two distinctly different items on their menu i have been down the road at least three times now only to find that theyve given me the wrong biscuiteven when the correct one is on my receipt not to mention the sweet tea has often tasted like hairspray i have never experienced such consistently poor service from a single fast food location"
"70","im so relieved im not the only one who knows how dysfunctional this mcdonalds is compared to any other „‚every time id be in the drivethru theyd get my order wrong and as i waited for my upcoming wrong order with cars in front of me i entertained myself bywatching „‚the handoff of food from the employee „‚to the driver of the cara slight pause and„‚then the hand back as the driver qas and returns the wrong order that was given to them „‚i hope this mcdonalds improves because im sure there are some good employees who work here and this is such a great location for this restaurant"
"71","my order was fresh and prepared correctly they were friendly and moved the drivethru line quickly during the lunch rush very good"
"72","the worst mcdonalds ever complete chaos the prices are higher than the average and they dont have all of the regular items like lattes or fraps the staff seems to be uninterested in taking or completing your order it is as if they are aware that you are pretty much at their mercy"
"73","wtf this place sucks just left drive thruwas in line formin girl got my order wrong took back extra sodagave me my order and disappeared formin while i waited for receipt when i finally got my receipt i was so mad i drove off only to find out i still got charged for the soda wow really mc ds she was so lazy she bet on me leaving so she didnt have to give me myrefund jokes on me one less family that will go here so sad"
"74","ghetto went in yesterday just to get a soda and could not even park in handicap parking spot because their delivery truck was blocking all spaces „‚finally made it inside and it was aboutcustomers to one cashier the shift manager made the comment that the car that was waiting needed to be pulled up because they are holding up her line „‚now how is that when they are waiting on their orderhell i was thinking you are holding up the customer and the others waiting anyway finally placed order and was toldwhich i paid exact price here is where its sadthe cashier did not ring up the soda so therefore i did not get a receipt i know that she planned to pocket the money which is sad and bad because eventually that cost will get passed off to customers through price increases i will not return here because i dont like to feel like i am in someones hood and i hate a thief maybe i will call to tell them but then again they probably dont care or maybe even steal themselves „‚plus i do not eat fast food anyway so no need to waste precious minutes"
"75","disorganized „‚didnt even get to order employees were hanging out with friends out front"
"76","nuts and bolts stopped by on my way into work to grab breakfast after getting some sams club gaspros convenient location for me right off i fast servicecons the sausage biscuit i had was subpar „‚the biscuit was overcooked and hard „‚the sausage was not cooked enough „‚only gave me one jelly packet „‚most places give me at least two „‚forgot to give me a straw for my sweet tea „‚sweet tea was not sweet enough „‚gave me no napkins „‚neutral „‚when i was in line paying a woman pulled up next to me to complain to the cashier that something was wrong with her order „‚so she jumped in front of me to get her order fixed „‚neutral about this since i dont have detailstake home i will try them one more time „‚if they fail again i will just pass"
"77","believe it or not this used to be q really good mcdonalds the drive throuh is so slow it is frustrating but the service is always friendly food is normally luke warm my niece likes the toys from mcdonalds i wonder if i pull up to the window and say let me just get the toy woulf service be faster"
"78","years of pathetic service disgusting food and dangerous mistakes why do i keep going backhaving nothing to do with mcdonalds food in general and more to do with the ability of this specific location to produce it with out killing anybody i have been going to this particular store for years it is right around the corner from where i used to live and is on the way from where i live to pretty much everything i use gas station costco movie theater market etc it is the only convenient location and for a while mcdonalds was the only place that haddrinks so those are my lame excuses for repeatedly torturing myself with this horrible place service i used to be a manager with another fast food chain i know what service should be i also know what it usually is it doesnt have to bestar but the rude attitudes ridiculously slow service and inability to get a single order right is really a bit too much when i say slow service i am talkingminutes is average drive thru time for a dollar menu burger and a soda correct orders yes my order can occasionally be complicated no castup add big mac sauce but when i thought they could do no worse they messed up an order forlarge drinksdiet cokes a lemonade and an unsweet iced tea all with extra ice we received a regular coke a lemonade a dr pepper and a sweet iced teadrinks had no ice at all and the otherhad a few pieces floating around we have never received a correct order from this store ever i could go on and on about it but i will stick with this sad example and move ondangerousdisgustingincorrectly made something a little different then an order where they put the wrong thing in the bag or mess up a custom is when they just make it incorrectly or dangerously some of the examples of this include pies that expired an hour before i received them an egg that was completely raw in the middle and tonights lovely mess up tonight i ordered the angus mushroom and swiss according to the website this should includefull slices of swiss cheese and a decent amount of mushrooms i had about a teaspoon of mushrooms no sauce anda slice of cheese that is right they left off a slice and a half of cheese in addition it was a regular and relatively old quarter pound patty not the big ole angus patty they should have used i have called the number on the receipt multiple times that takes me to the district office they consistently send out a free sandwich or drink coupon to apologize they tell me how sorry they are and suggest i try one of their other locations as this is the only one they receive complaints from from what i was told they are revamping this store but i have been told that for well over a year and it seems to have been unvamped and going down hill which i didnt think was even possible i keep vowing this will be my last visit but then find myself sitting in the drive thru line yet again wondering if i will ever receive my food i highly do not recommend this location hopefully you wont be lured in by whatever the heck keeps luring me sarah this was written by pauls wife because i am usually the one dealing with them i guess he got smarter"
"79","very unhappy „‚i ordered a fish combo on october rd „‚when the drive through person attempted to hand me my meal she stated it was a qt „‚i dont eat beef and didnt order that however i had already paid for my meal with my card the qt was more than my fish meal so i was told they would refund me the qt and they charged me for the fish meal „‚have been checking bank account all weekend no refund went back to the store and spoke to manager starla who told me refunds can take up to two days to go through its tuesday oct th my payment went through yesterday for two meals purchased oct rd one of which i didnt eat or take with me not happy starla tried to make the excuse that yesterday oct th was a holiday „‚i said what holiday she says columbus day i never had respect for that man but do recognize his holiday is on the th for my bank so i informed starla that yesterday was not a bank holiday she wouldnt call the gm this evening stating the gm general manager would be there tomorrow between to „‚im working then too so its a big inconvenience taking time from my job to get them to do their job „‚im really not happy with this mcdonalds need to train their staff to be careful with peoples money i want my money back and if i dont get it i will go to every place that i use to rate businesses and really make known my disapproval of how they do business"
"80","slowslowslow „‚dont go here if you have a flight to catchor a life to live „‚if youre hungry wait until you get to the airport „‚this particular mcdonalds is just not worth your time"
"81","worst mcdonalds ever „‚i work close so it is convenient for breakfast and lunch however after my experience today i will not be going back „‚with so many other dining options in the area i wonder why they dont pay attention to the reviews and step up their game „‚today i went through the drive thruwhich is always the slowest around average of aboutmins in linelongest time wasminutes „‚today was the th time in a month that ive been through the drive thru and my order was wrong or incomplete „‚im only one person how many other people does this happen tothis morning i went to the drive thru about am lucky since i was the only one in line „‚placed my order but could tell the person taking my order was distracted „‚got to the payment window where the person dropped my change on the ground ugh „‚next window pick up food „‚here is the entire conversation me „‚can i get some mayonnaise and salt mds „‚mayonnaise „‚as he is chatting with a coworker and not listening to meme yes mayonnaise and saltmds ok „‚still chatting it up with coworkermds „‚that was mayonnaise and jellyme no „‚mayonnaise and saltugh „‚pay attention „‚needless to say i got to work and order was incomplete „‚frustrated i got back in my car drove back to restaurant and went inside „‚talked to a manager or assistant couldnt tell as they had no nametag but they were very uninterested in the fact that a customer had an issue „‚i explained that it had happenedtimes in last month still no reaction „‚no concern no apology „‚ „‚he proceeded to get my other item but was not going to replace the current one i brought back „‚since it was now a cold item i had to ask to get a replacementi mentioned again that this is the th time in a month that this had happened to just me but again no apology no concern and no reaction „‚worst customer service of any restaurant ive ever been in „‚it seems to me that they need to be reading these reviews and try to improve „‚i will be sending a copy of this review to mcdonalds corporate office because if they are not already aware of how bad this store is they need to be"
"82","this is hands down the worst mcds locationi keep saying i wont go back but i think what keeps me going back is that living in the heart of summerlin there isnt much of an option besides the burger king on town centerthe drivethru is always so so so long and the workers at the window are so slow and seem like it is their first day every time my order is never right i order a mcgriddle and get a mcmuffin wth the food is either overcooked or not accurate what is with the coke it always and i mean always tastes weirdi have sent an email through the website complaining and they said since nobody else complained about the coke it must be fine wrong if you get the nasty coke please send them an email if enough people complain they might actually do somethingi usually go to the location on charleston but since this one is so close i do still come here when i have coupons but i make sure and go inside where i can verify my order"
"83","they mess up every time i go unless my order is underbucks even if its just sweet tea its straight crappy water „‚i called corporate twice they sent me a coupon which was not even the value of what they made a mistake on „‚my name was in the book and the lady behind the counter still wanted my receipt corporate even said i didnt need one i understand they get jacked all the time but dont jack your customersits a pass"
"84","here i sitminutes now waiting for mybreakfast burritos this mcdonalds is slow and the employees are not at all friendly i do not recommend this place at all"
"85","stopped here on the way downtown this morning to get a yogurt parfait „‚these snakes gave me dairy products that had an expired use by sticker and i didnt even notice until i was halfway to downtown gross guys „‚theres no point in putting freshness dates on your food if the employees cant or wont read"
"86","i usually do not care to write reviews for fast food chains but this was the strangest experience we have had in a drive thru in a long time „‚when we pulled up to the first menu we did not see a window so we glanced at the menu and pulled forward to the next menu where the intercom usually is located „‚we did not see one and another car was already behind us „‚we went around the building thinking that we missed it at the first menu only to find that located at the second menu was a big unlit sign stating that it was personal facetoface service and we were to order at the windowreally „‚we pulled up to the first window and no one was there and neither was there a sign stating to move forward to the next window „‚we took the risk and pulled forward „‚a few seconds later a lady wearing the supervisor uniform took our order while giving another employee a hug and having a conversation with another employee „‚then we saw the car behind us paying for and placing their order at the first window „‚then the lady who took our order came back with our food and was trying to give us some change when she realized it belonged to the car behind us „‚the food was cold and oldvery confusing and horrible experience at what should have been just a simple drive thru service „‚i am not surprised by the low ratings this location has received"
"87","its good hr"
"88","i do not live far from this mcdonalds location so i have been here several times before today is tuesday jan tham and i placed and paid for an order of sausage wegg biscuit andhasbrowns to go at the drive thru the meal was bagged and handed to me by the store mgr at the nd window when i returned home what i found was a sausage wegg biscuit but onlyhashbrown a small inconvenience but when i am unemployed and pay for a portion of a meal i did not receiveim sure you get the pointtrust reliabiltyout the window for all who read this be sure to check your order before pulling away from the drive thru window i wont be patronizing this location for awhile"
